42,26,17.3.2015,1.9.2019
77,90,2.8.2005,7.1.2004
64,4,21.10.2016,13.1.2007
37,17,8.10.2007,23.8.2015
78,90,6.1.2017,4.5.2023
81,86,3.11.2017,6.8.2010
14,45,13.1.2004,16.2.2003
36,90,15.2.2012,20.12.2007
41,40,23.7.2005,26.11.2007
16,26,13.3.2006,2.3.2014
77,41,7.10.2012,11.12.2011
80,33,7.3.2007,8.7.2019
73,15,30.12.2008,11.12.2007
75,33,7.1.2004,22.9.2007
90,73,23.10.2009,1.8.2018
73,85,9.6.2011,8.4.2018
54,95,10.6.2009,17.5.2012
31,67,18.12.2004,16.1.2019
54,35,3.7.2006,26.12.2006
64,78,16.8.2018,22.4.2017
100,73,26.4.2016,30.1.2022
88,52,17.3.2001,8.7.2023
9,78,16.4.2007,6.8.2002
4,81,12.7.2001,1.11.2016
100,34,28.11.2002,19.6.2017
10,84,11.4.2005,18.11.2022
18,9,8.5.2011,5.5.2015
57,44,9.2.2010,5.2.2012
28,11,21.7.2012,25.7.2007
33,40,3.11.2002,19.7.2002
48,4,18.6.2016,21.5.2017
90,52,4.1.2007,17.6.2011
71,70,16.5.2001,14.8.2021
87,7,13.2.2003,6.6.2005
11,52,21.11.2018,17.9.2013
8,73,17.8.2005,19.7.2013
92,15,19.1.2009,21.1.2004
29,59,7.4.2002,5.7.2011
34,27,26.12.2003,19.3.2005
15,51,6.2.2002,5.10.2004
48,61,18.12.2016,22.1.2009
74,74,8.4.2009,21.1.2006
24,52,27.2.2008,29.12.2011
68,36,22.10.2011,13.4.2020
39,17,19.3.2015,10.11.2013
19,82,6.11.2002,5.2.2018
58,35,21.6.2001,3.11.2007
4,100,13.6.2012,4.4.2006
54,82,9.7.2002,7.10.2003
27,66,27.9.2014,13.2.2005
23,75,6.2.2005,23.4.2009
7,58,3.7.2004,28.12.2022
66,46,11.5.2002,26.10.2013
100,52,6.10.2006,13.11.2012
4,2,2.4.2015,14.5.2002
23,64,18.10.2011,24.10.2006
44,83,26.4.2001,10.12.2022
49,48,16.11.2007,18.6.2013
89,13,12.9.2013,2.10.2021
85,64,13.5.2009,9.8.2017
17,2,25.5.2013,7.9.2014
94,35,20.11.2015,4.10.2007
86,69,14.2.2017,16.2.2015
87,42,23.1.2014,29.8.2016
70,48,16.6.2013,10.7.2023
100,82,26.8.2018,21.5.2004
48,85,4.2.2009,3.6.2003
42,41,9.9.2001,8.3.2017
15,53,23.4.2005,18.8.2003
15,71,11.2.2003,20.5.2002
31,38,6.7.2010,3.1.2020
91,63,16.3.2005,21.4.2012
53,96,4.12.2018,15.2.2017
77,33,15.7.2001,27.9.2018
61,36,4.4.2016,2.8.2002
71,75,15.1.2004,1.5.2020
35,21,11.5.2012,23.8.2011
62,70,7.4.2006,6.4.2018
66,42,23.2.2002,2.4.2014
15,40,13.4.2005,21.8.2020
44,10,24.2.2001,27.9.2019
91,59,1.12.2003,2.11.2016
68,40,3.10.2002,18.3.2023
29,1,12.2.2003,8.1.2013
34,60,1.4.2017,2.6.2015
74,13,16.1.2003,10.9.2002
42,55,15.10.2018,25.12.2015
87,19,18.9.2017,27.3.2010
47,98,25.9.2007,13.3.2003
14,49,16.10.2017,23.8.2007
85,13,2.2.2005,6.4.2023
64,28,21.10.2014,28.9.2003
2,96,9.5.2007,10.10.2005
97,87,12.2.2004,21.7.2023
25,75,23.12.2013,29.3.2007
8,59,29.9.2005,4.1.2008
87,88,15.12.2016,8.8.2009
66,10,31.8.2011,9.8.2019
62,91,6.1.2013,11.8.2004
52,45,19.7.2018,13.7.2012
49,33,3.6.2017,20.10.2005
95,84,26.11.2006,23.1.2021
82,48,8.9.2007,25.5.2005
28,64,10.11.2004,1.9.2007
39,81,24.1.2008,11.1.2012
32,99,23.12.2011,13.12.2022
29,27,15.1.2005,23.2.2024
53,56,26.9.2007,18.3.2019
67,57,13.7.2018,16.5.2010
99,87,27.12.2008,7.4.2003
69,98,14.10.2004,5.2.2024
95,10,12.2.2018,13.11.2013
48,11,16.3.2016,4.5.2007
96,48,25.4.2014,29.1.2014
36,46,20.4.2006,7.7.2005
46,80,14.1.2002,1.9.2012
50,71,7.7.2002,17.12.2017
43,10,23.1.2005,23.7.2014
17,62,18.5.2014,31.5.2005
62,82,15.8.2001,8.1.2008
33,16,9.5.2011,21.3.2023
11,67,7.11.2012,4.8.2008
86,70,5.12.2002,12.8.2019
38,32,4.1.2005,16.1.2008
71,10,17.11.2006,25.11.2013
39,27,18.9.2005,6.10.2006
87,68,12.5.2011,12.10.2024
60,48,1.12.2015,9.8.2013
92,81,15.12.2004,22.8.2010
93,31,13.7.2003,2.2.2002
35,3,15.7.2015,1.8.2017
27,72,16.5.2017,29.9.2004
32,73,25.6.2010,2.5.2018
65,24,5.11.2009,5.9.2020
66,14,12.9.2013,26.10.2018
14,46,28.12.2009,10.9.2002
80,26,3.10.2014,30.4.2013
52,75,29.10.2018,2.4.2018
58,63,22.9.2018,19.8.2017
1,65,30.6.2015,6.1.2009
3,30,9.4.2004,30.1.2007
28,69,18.3.2003,12.1.2007
92,83,27.8.2006,13.5.2002
46,61,1.11.2010,4.4.2004
66,45,14.11.2009,5.5.2005
40,95,26.12.2000,20.7.2024
33,43,26.9.2012,18.12.2023
87,18,1.3.2002,4.10.2008
54,7,13.1.2011,26.4.2018
41,67,29.1.2017,29.11.2007
48,86,27.4.2009,16.5.2019
63,83,19.3.2006,6.3.2020
8,84,15.4.2017,20.6.2017
100,27,1.4.2010,24.6.2011
51,91,20.7.2004,17.5.2008
51,77,1.3.2013,22.10.2006
15,37,15.11.2016,21.12.2023
20,36,18.7.2008,18.9.2021
88,61,4.10.2013,16.11.2018
51,43,26.7.2004,29.11.2018
95,38,17.8.2007,14.6.2014
73,3,27.4.2006,18.1.2005
3,100,25.4.2003,11.7.2010
78,70,3.10.2011,23.6.2019
56,53,26.5.2018,9.5.2013
39,35,26.6.2017,16.2.2004
47,21,26.9.2014,19.6.2003
46,25,7.2.2012,25.9.2002
55,34,7.12.2001,23.8.2024
57,100,29.6.2017,7.10.2002
74,24,11.7.2014,8.1.2019
61,70,2.2.2017,21.9.2022
48,16,6.11.2012,13.12.2013
15,61,3.5.2017,18.5.2024
22,33,17.1.2007,14.4.2004
18,52,27.12.2016,7.1.2009
36,66,26.11.2009,5.1.2002
66,85,4.12.2005,26.1.2005
44,84,4.9.2016,16.7.2006
76,24,25.8.2002,6.7.2017
8,67,16.4.2017,3.3.2006
32,49,30.9.2005,8.7.2002
95,12,4.9.2018,7.6.2007
8,22,9.6.2003,19.7.2005
54,15,25.12.2000,14.3.2010
85,93,18.4.2002,8.6.2009
46,52,7.8.2004,12.1.2019
5,100,15.12.2017,22.7.2016
98,62,22.7.2017,29.1.2009
83,15,12.2.2005,7.7.2008
99,40,9.10.2002,26.5.2002
41,66,15.7.2004,28.11.2002
71,82,4.7.2009,12.1.2012
80,90,5.5.2015,7.4.2013
45,66,7.3.2013,4.2.2007
53,37,4.10.2006,5.9.2018
51,36,9.4.2012,15.10.2013
100,72,1.7.2017,22.3.2015
52,58,11.12.2010,14.6.2019
28,58,7.8.2008,4.12.2012
30,32,19.4.2013,4.12.2016
